old,new,old_installs,new_installs,capture,same_publisher,excluded_confound
VisualStudioExptTeam.vscodeintellicode,github.copilot-chat,62281821,77958498,125.17,False,False
VisualStudioExptTeam.intellicode-api-usage-examples,github.copilot-chat,46731027,77958498,166.82,False,False
msjsdiag.debugger-for-chrome,ms-vscode.js-debug,10998297,122366,1.11,False,False
ms-vscode.azure-account,ms-azuretools.vscode-azureresourcegroups,9208298,7455156,80.96,False,False
Equinusocio.vsc-material-theme-icons,vira.vsc-vira-theme,5918293,484127,8.18,False,False
ms-dotnettools.vscodeintellicode-csharp,github.copilot-chat,4308451,77958498,1809.43,False,True
Equinusocio.vsc-material-theme,vira.vsc-vira-theme,4279766,484127,11.31,False,False
rebornix.Ruby,Shopify.ruby-lsp,3882300,1920264,49.46,False,False
Equinusocio.vsc-community-material-theme,Equinusocio.vsc-material-theme,3728631,4279766,114.78,True,False
wingrunr21.vscode-ruby,Shopify.ruby-lsp,3069246,1920264,62.56,False,False
zxh404.vscode-proto3,DrBlury.protobuf-vsc,2997342,222404,7.42,False,False
Vue.vscode-typescript-vue-plugin,Vue.volar,2630099,9478213,360.37,True,False
ritwickdey.live-sass,glenn2223.live-sass,2604646,2688026,103.2,False,False
dbaeumer.jshint,dbaeumer.vscode-eslint,2425716,52531841,2165.62,True,False
jcbuisson.vue,Vue.volar,2204566,9478213,429.94,False,False
Unity.unity-debug,visualstudiotoolsforunity.vstuc,2050017,2602955,126.97,False,False
bungcip.better-toml,tamasfe.even-better-toml,2046288,4759087,232.57,False,False
rust-lang.rust,rust-lang.rust-analyzer,1872041,6574887,351.21,True,False
serayuzgur.crates,fill-labs.dependi,1811652,738595,40.77,False,False
msazurermtools.azurerm-vscode-tools,ms-azuretools.vscode-bicep,1502501,1667291,110.97,False,False
ms-iot.vscode-ros,Ranch-Hand-Robotics.rde-pack,1376348,157683,11.46,False,False
liximomo.sftp,Natizyskunk.sftp,1351031,1527611,113.07,False,False
mkaufman.HTMLHint,HTMLHint.vscode-htmlhint,1221528,729199,59.7,False,False
KnisterPeter.vscode-github,GitHub.vscode-pull-request-github,1145242,36323092,3171.65,False,True
tal7aouy.icons,yusifaliyevpro.vscicons,1115813,56175,5.03,False,False
TeamsDevApp.vscode-ai-foundry,ms-windows-ai-studio.windows-ai-studio,1041821,1405756,134.93,False,False
vscjava.vscode-java-upgrade,vscjava.migrate-java-to-azure,995503,1628537,163.59,True,False
ms-ossdata.vscode-postgresql,ms-ossdata.vscode-pgsql,946728,695101,73.42,True,False
donjayamanne.jupyter,ms-toolsai.jupyter,816371,108629620,13306.4,False,True
Oracle.oracledevtools,Oracle.sql-developer,719973,971839,134.98,True,False
adashen.vscode-tomcat,redhat.vscode-community-server-connector,713386,612897,85.91,False,False
silvenon.mdx,unifiedjs.vscode-mdx,676082,1246671,184.4,False,False
ionic.ionic,WebNative.webnative,602116,136543,22.68,False,False
VisualStudioExptTeam.vscodeintellicode-completions,github.copilot-chat,559933,77958498,13922.83,False,True
gencay.vscode-chatgpt,genieai.chatgpt-vscode,556949,1078909,193.72,False,False
wwm.better-align,Chouzz.vscode-better-align,553991,356914,64.43,False,False
liuji-jim.vue,Vue.volar,474675,9478213,1996.78,False,True
chenxsan.vscode-standardjs,standard.vscode-standard,471402,737985,156.55,False,False
slevesque.vscode-hexdump,ms-vscode.hexeditor,438589,7297623,1663.89,False,True
