id,name,repo,downloads,last_commit,commit_months,archived,licence,open_issues,stars
obsidian-excalidraw-plugin,Excalidraw,zsviczian/obsidian-excalidraw-plugin,7656596,2026-09-01,0.0,false,AGPL-3.0,889,7534
templater-obsidian,Templater,silentvoid13/Templater,5470348,2026-08-05,0.9,false,AGPL-3.0,186,5255
dataview,Dataview,blacksmithgu/obsidian-dataview,4879886,2025-11-17,9.5,false,MIT,662,9307
obsidian-tasks-plugin,Tasks,obsidian-tasks-group/obsidian-tasks,4143802,2026-08-30,0.1,false,MIT,156,3979
table-editor-obsidian,Advanced Tables,tgrosinger/advanced-tables-obsidian,3158325,2026-05-13,3.6,false,GPL-3.0,111,2600
obsidian-git,Git,vinzent03/obsidian-git,3083638,2026-08-17,0.5,false,MIT,131,11894
calendar,Calendar,liamcain/obsidian-calendar-plugin,3059654,2024-06-22,26.3,false,MIT,186,2256
obsidian-style-settings,Style Settings,obsidian-community/obsidian-style-settings,2641200,2026-07-13,1.6,false,GPL-3.0,40,2464
obsidian-kanban,Kanban,obsidian-community/obsidian-kanban,2614609,2026-03-06,5.9,false,GPL-3.0,601,4486
obsidian-icon-folder,Iconize,florianwoelki/obsidian-iconize,2201003,2026-04-27,4.2,false,MIT,179,1402
remotely-save,Remotely Save,remotely-save/remotely-save,2194347,2024-11-10,21.7,false,NOASSERTION,224,8047
quickadd,QuickAdd,chhoumann/quickadd,2055852,2026-08-31,0.0,false,MIT,3,2349
realclaudian,Claudian,yishentu/claudian,1967678,2026-09-01,0.0,false,MIT,69,15092
editing-toolbar,Editing Toolbar,pkm-er/obsidian-editing-toolbar,1824347,2026-08-13,0.6,false,MPL-2.0,152,1519
omnisearch,Omnisearch,scambier/obsidian-omnisearch,1813609,2026-08-25,0.2,false,GPL-3.0,93,2131
copilot,Copilot,logancyang/obsidian-copilot,1794769,2026-09-01,0.0,false,AGPL-3.0,122,7660
obsidian-minimal-settings,Minimal Theme Settings,kepano/obsidian-minimal-settings,1778138,2026-07-31,1.1,false,MIT,10,803
