id,name,pub,installs,rating,ratings,updated,months,repo_full,gh_pushed,commit_months,archived,licence,open_issues,stars
ms-python.python,Python,Microsoft,234682522,4.2,630,2026-08-26,0.2,,,,,,,
ms-python.vscode-pylance,Pylance,Microsoft,201485473,2.97,281,2026-08-28,0.1,,,,,,,
ms-python.debugpy,Python Debugger,Microsoft,140068822,4.69,16,2026-08-28,0.1,,,,,,,
ms-toolsai.jupyter,Jupyter,Microsoft,108642568,2.64,369,2026-07-15,1.6,,,,,,,
ms-vscode.cpptools,C/C++,Microsoft,103321686,3.44,602,2026-09-01,0.0,,,,,,,
ms-toolsai.jupyter-keymap,Jupyter Keymap,Microsoft,88256752,4.25,4,2023-06-05,38.9,Microsoft/vscode-jupyter-keymap,2025-02-04,18.9,False,MIT,13,35
ms-toolsai.jupyter-renderers,Jupyter Notebook Renderers,Microsoft,87432465,2.92,13,2025-06-27,14.2,,,,,,,
ritwickdey.LiveServer,Live Server,Ritwick Dey,81870404,4.4,518,2026-02-27,6.1,,,,,,,
GitHub.copilot-chat,GitHub Copilot Chat,GitHub,77954147,2.84,384,2026-05-15,3.6,,,,,,,
GitHub.copilot,GitHub Copilot,GitHub,74482428,4.08,1054,2025-10-24,10.2,,,,,,,
esbenp.prettier-vscode,Prettier - Code formatter,Prettier,71222821,3.54,492,2026-03-16,5.6,,,,,,,
ms-toolsai.vscode-jupyter-cell-tags,Jupyter Cell Tags,Microsoft,68730697,4.0,2,2024-04-03,28.9,Microsoft/vscode-jupyter-cell-tags,2026-08-24,0.3,False,MIT,20,24
ms-toolsai.vscode-jupyter-slideshow,Jupyter Slide Show,Microsoft,68657762,5.0,2,2024-04-03,28.9,Microsoft/vscode-jupyter-slideshow,2026-08-07,0.8,False,MIT,10,29
VisualStudioExptTeam.vscodeintellicode,IntelliCode,Microsoft,62285541,3.9,104,2024-10-23,22.3,MicrosoftDocs/intellicode,2025-11-12,9.6,True,CC-BY-4.0,161,841
ms-vscode.cmake-tools,CMake Tools,Microsoft,62276004,4.47,77,2026-09-01,0.0,,,,,,,
ms-vscode.cpptools-themes,C/C++ Themes,Microsoft,58964061,3.47,19,2022-10-24,46.3,Microsoft/vscode-cpptools,2026-09-01,0.0,False,NOASSERTION,1418,6158
ms-vscode.cpptools-extension-pack,C/C++ Extension Pack,Microsoft,57127722,4.64,47,2026-02-19,6.4,,,,,,,
redhat.java,Language Support for Java(TM) by Red Hat,Red Hat,56711163,3.31,186,2026-08-28,0.1,,,,,,,
MS-CEINTL.vscode-language-pack-zh-hans,Chinese (Simplified) (简体中文) Language Pack for Visual Studio Code,Microsoft,54900651,4.83,81,2026-08-23,0.3,,,,,,,
ms-python.vscode-python-envs,Python Environments,Microsoft,54775786,1.32,152,2026-08-27,0.2,,,,,,,
dbaeumer.vscode-eslint,ESLint,Microsoft,52533731,4.3,250,2026-07-16,1.5,,,,,,,
ms-azuretools.vscode-docker,Docker,Microsoft,52479877,4.48,107,2025-05-28,15.1,,,,,,,
eamodio.gitlens,GitLens — Git supercharged,GitKraken,52386428,3.4,931,2026-09-01,0.0,,,,,,,
vscjava.vscode-java-debug,Debugger for Java,Microsoft,52042037,3.89,28,2026-07-27,1.2,,,,,,,
vscjava.vscode-maven,Maven for Java,Microsoft,48216179,4.12,17,2026-08-20,0.4,,,,,,,
vscjava.vscode-java-test,Test Runner for Java,Microsoft,46782915,4.24,21,2026-07-27,1.2,,,,,,,
VisualStudioExptTeam.intellicode-api-usage-examples,IntelliCode API Usage Examples,Microsoft,46734908,3.76,21,2024-10-23,22.3,MicrosoftDocs/intellicode,2025-11-12,9.6,True,CC-BY-4.0,161,841
twxs.cmake,CMake,twxs,46622564,3.04,28,2017-03-06,113.9,twxs/vs.language.cmake,2023-10-30,34.1,False,MIT,87,139
vscjava.vscode-java-dependency,Project Manager for Java,Microsoft,46321225,3.58,12,2026-08-24,0.3,,,,,,,
vscjava.vscode-java-pack,Extension Pack for Java,Microsoft,45993875,3.7,88,2026-06-09,2.8,,,,,,,
ms-dotnettools.csharp,C#,Microsoft,42877469,2.73,676,2026-08-06,0.9,,,,,,,
